# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.03728659204552065, 0.214485821643566], "elapsed_s": 267.22774540202226, "export_audit": {"max_axle_friction_ratio": 1.0000000000000082, "maximum_steering_rad": 0.33882085323190164, "minimum_body_clearance_above_reserve_m": 0.002766721944067685, "normalized_physical_violation": 8.215650382226158e-15, "samples": 2160}, "export_relative_time_change": 0.003308593632277015, "exported_time_s": 6.978163140427508, "geometry_discretization_reserve_m": 0.003, "global_optimum_proven": false, "kkt_stationarity": 8.40271868013387e-06, "mesh_checks": [{"dense_normalized_violation": 0.019417143391516484, "dense_time_relative_change": 4.592927090963659e-05, "iterations": 186, "samples": 368, "time_s": 6.95114891988296}, {"dense_normalized_violation": 0.015684555735077585, "dense_time_relative_change": 2.215020624866369e-05, "iterations": 44, "samples": 407, "time_s": 6.954733368411144}, {"dense_normalized_violation": 0.0027926370502104753, "dense_time_relative_change": 1.455140069094873e-05, "iterations": 44, "samples": 434, "time_s": 6.95520190369207}, {"dense_normalized_violation": 8.748488061336106e-05, "dense_time_relative_change": 1.42978268326e-05, "iterations": 47, "samples": 454, "time_s": 6.95524937214508}, {"dense_normalized_violation": 9.19741443628661e-07, "dense_time_relative_change": 1.4285520417603759e-05, "iterations": 44, "samples": 456, "time_s": 6.955250730266575}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 9.393790798110243e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_control_mesh_convergence_tested": false, "path_controls": 92, "requested_margin_m": 0.4, "solved_time_s": 6.955151370890258, "solver_message": "Optimization terminated successfully", "status": "converged"}
4.189129533381292347e+00,6.484834055525348084e+00,6.611674506696489928e+00,-4.154396543086395603e-03
4.196589214125143741e+00,6.450725780946289234e+00,6.643711140116389302e+00,7.815477485119793439e-04
4.204050185571835740e+00,6.416616064295250332e+00,6.674988965696822873e+00,5.181727455734750840e-03
4.211517266941275928e+00,6.382507977935521382e+00,6.705613364449362734e+00,9.203063636024032962e-03
4.218994498856578623e+00,6.348405980166017315e+00,6.735673660167079468e+00,1.296527787428510513e-02
4.226487449188047307e+00,6.314306083544938275e+00,6.765255067015887747e+00,1.656339707584212131e-02
4.234000462864274894e+00,6.280208961441301696e+00,6.794429620371326806e+00,2.007628592295062492e-02
4.241537654642753452e+00,6.246115853740295876e+00,6.823261951930529534e+00,2.357231711049512582e-02
4.249103004629130709e+00,6.212028510807404480e+00,6.851810973203774857e+00,2.711390550510007005e-02
4.256700102113033957e+00,6.177950675647002399e+00,6.880129982284469037e+00,3.020337997656340895e-02
4.264333205469961641e+00,6.143880541726381317e+00,6.876063690622958191e+00,2.413672785820744626e-02
4.271995044677078468e+00,6.109816733918231435e+00,6.847902935414543535e+00,1.051135213564091675e-02
4.279669431000685975e+00,6.075755535720738898e+00,6.819655062387711908e+00,-3.250103845132018467e-03
4.287339854817662221e+00,6.041693898950835084e+00,6.791313614377472163e+00,-1.694585246459538036e-02
4.294990130324118027e+00,6.007627703703136923e+00,6.762871158281563488e+00,-3.060413540429086227e-02
4.302604036348277816e+00,5.973553193091873936e+00,6.734320465159797209e+00,-4.425275129606381225e-02
4.310165279802091298e+00,5.939466985233950780e+00,6.705654516559226508e+00,-5.791894268088168540e-02
4.317657566299501148e+00,5.905365609002501515e+00,6.676866108659353927e+00,-7.162946762824891345e-02
4.325064564302116388e+00,5.871245510045572047e+00,6.647947846724669319e+00,-8.541059578592130608e-02
4.332369762422981552e+00,5.837103557586814873e+00,6.618892566262779553e+00,-9.928807108803401615e-02
4.339556506660250612e+00,5.802936740621089662e+00,6.589693070565849631e+00,-1.132871707618414159e-01
4.346608134696696268e+00,5.768741363677647449e+00,6.560341431277029400e+00,-1.256161330339218007e-01
4.353509730798839072e+00,5.734515327428872489e+00,6.531659556481850260e+00,-1.291252246485901645e-01
4.360256899037341149e+00,5.700258798506824931e+00,6.502882222894652564e+00,-1.299786947931757530e-01
4.366848458886675388e+00,5.665972411303035194e+00,6.473940429441203293e+00,-1.309301711930720979e-01
4.373283336036386970e+00,5.631655601456399651e+00,6.444825860944157547e+00,-1.319829960998356588e-01
4.379560046634374260e+00,5.597309285643630616e+00,6.415531240630517829e+00,-1.331400765888255955e-01
4.385676959123014917e+00,5.562934552246121989e+00,6.386049219971285495e+00,-1.344046592625996461e-01
4.391632411236677136e+00,5.528531979031502175e+00,6.356371775116445022e+00,-1.357803743744880609e-01
4.397424710390596125e+00,5.494101531172822739e+00,6.326490086162934290e+00,-1.372712772932351277e-01
4.403052118433876672e+00,5.459642532498095058e+00,6.296394473963085936e+00,-1.388818326317610707e-01
4.408512300574075837e+00,5.425157063236150989e+00,6.266077354519276277e+00,-1.406169543806587430e-01
4.413803035849013234e+00,5.390645666457534624e+00,6.235529482829232251e+00,-1.424951178686401365e-01
4.418921921990493829e+00,5.356108954881472428e+00,6.205263354244442198e+00,-1.449536971780909511e-01
4.423865952244313782e+00,5.321546804951878151e+00,6.175519836136248664e+00,-1.479323849945246572e-01
4.428631574673732807e+00,5.286958338805265889e+00,6.145556769846317380e+00,-1.507499896882946167e-01
4.433215015470193698e+00,5.252345737437762452e+00,6.115384667784276473e+00,-1.533483492357559375e-01
4.437613035939668826e+00,5.217709375852983555e+00,6.085012867174369511e+00,-1.557127508071534661e-01
4.441822672642170566e+00,5.183049737601944429e+00,6.054451138824702205e+00,-1.578300224441783195e-01
4.445841255895694566e+00,5.148367403684787291e+00,6.023709640627549433e+00,-1.596886750044558823e-01
4.449666426012846898e+00,5.113663040790483727e+00,5.992798867176585276e+00,-1.612790696839609961e-01
4.453296115104055097e+00,5.078937703029362538e+00,5.961729877671269939e+00,-1.625935635856707306e-01
4.456728598499402061e+00,5.044192492206646783e+00,5.930513950869045203e+00,-1.636266230189699356e-01
4.459962527488207762e+00,5.009428269014721380e+00,5.899162276561789930e+00,-1.643753407901190344e-01
4.462996904900557560e+00,4.974645885997642125e+00,5.867621057282259578e+00,-1.651211649241580426e-01
4.465830744388743057e+00,4.939846124971443153e+00,5.835545344648060961e+00,-1.665023391029504807e-01
4.468462239073416775e+00,4.905030368930922258e+00,5.803341160049518166e+00,-1.681056370262961064e-01
4.470889302857830039e+00,4.870200339657788646e+00,5.771000591429046978e+00,-1.698283932247108552e-01
4.473109800025778959e+00,4.835356551063986430e+00,5.738514508012519499e+00,-1.716720601985295691e-01
4.475121420473025857e+00,4.800499891086526638e+00,5.705874001436782805e+00,-1.736384230140111395e-01
4.476921690906288553e+00,4.765631565153253923e+00,5.673070319128665773e+00,-1.757295756151683319e-01
4.478507993125590225e+00,4.730752819548976085e+00,5.640094588546727294e+00,-1.779479232603556060e-01
4.479877560554874627e+00,4.695864974728548802e+00,5.606937829139138074e+00,-1.802961906029441341e-01
4.481027480675324526e+00,4.660969287463422539e+00,5.573590800833452263e+00,-1.827774291300121312e-01
