# x_m,y_m,v_mps,kappa
# optimization: {"dynamic_validation": false, "effective_margin_m": [0.22250000000000003, 0.4], "elapsed_s": 68.84690996498102, "export_relative_time_change": -0.020226038907830837, "exported_time_s": 11.50334112774894, "global_optimum_proven": false, "kkt_stationarity": 9.216596923654257e-06, "mesh_checks": [{"dense_normalized_violation": 0.02167510757173594, "dense_time_relative_change": 0.00017802011576368472, "iterations": 39, "samples": 336, "time_s": 11.729208414528397}, {"dense_normalized_violation": 0.005824461986172812, "dense_time_relative_change": 0.00014022956799437876, "iterations": 32, "samples": 377, "time_s": 11.740989811066786}, {"dense_normalized_violation": 0.001342924253240874, "dense_time_relative_change": 0.00013207050485529594, "iterations": 32, "samples": 400, "time_s": 11.742118283153637}, {"dense_normalized_violation": 0.0002595167155455656, "dense_time_relative_change": 0.00013154417923384637, "iterations": 25, "samples": 417, "time_s": 11.742354310545275}, {"dense_normalized_violation": 6.936401990641288e-06, "dense_time_relative_change": 0.00013142942340977614, "iterations": 20, "samples": 421, "time_s": 11.74235452343244}], "model": "periodic-quasisteady-axle-nlp-v1", "normalized_constraint_violation": 2.582783898209609e-10, "objective": "integral(norm(dxy/dphase)/speed, phase=0..1)", "path_controls": 84, "requested_margin_m": 0.4, "solved_time_s": 11.740811232547951, "solver_message": "Optimization terminated successfully", "status": "converged"}
-3.489507294025446527e+01,4.913708868298733101e+00,9.999999999995452526e+00,2.146932719964225766e-04
-3.483280450080015100e+01,4.955131890187002064e+00,9.999999999995452526e+00,2.266801229596548191e-04
-3.477053676359619772e+01,4.996555967701326040e+00,9.999999999995452526e+00,2.386653321666056557e-04
-3.470826976579187573e+01,5.037981156642728386e+00,9.999999999995452526e+00,2.506488297551150027e-04
-3.464600354453414610e+01,5.079407512802269764e+00,9.999999999995452526e+00,2.407470816382253724e-04
-3.458373806916591775e+01,5.120834990056336800e+00,9.999999999995452526e+00,-1.985552546629319628e-04
-3.452147197863331485e+01,5.162261542688429294e+00,9.999999999995452526e+00,-1.109212142958944641e-03
-3.445920245178682961e+01,5.203682929831808579e+00,9.999999999995452526e+00,-2.050611631124157636e-03
-3.439692657332075498e+01,5.245094766733826575e+00,9.968753060953895684e+00,-2.991992919188721841e-03
-3.433464143000309576e+01,5.286492667385471300e+00,9.922999556949720912e+00,-3.933387286809974202e-03
-3.427234411150520543e+01,5.327872243761070159e+00,9.877102920780755468e+00,-4.874825341969672363e-03
-3.421003171123433617e+01,5.369229105062061080e+00,9.831061044567162455e+00,-5.816336739116485105e-03
-3.414770132717048057e+01,5.410558856966278363e+00,9.784871774504104280e+00,-6.757950033051006791e-03
-3.408535006270812318e+01,5.451857100883794160e+00,9.738532909452025876e+00,-7.699692408855570228e-03
-3.402297502750424485e+01,5.493119433220708281e+00,9.692042199471032404e+00,-8.641589484205836752e-03
-3.396057333833341829e+01,5.534341444652128850e+00,9.645397344296597453e+00,-9.160594814614045692e-03
-3.389814342244049783e+01,5.575520695012302852e+00,9.598595991444673459e+00,-7.554121680828136502e-03
-3.383569025140192110e+01,5.616664669017339406e+00,9.551635734780465015e+00,-5.159084782872378448e-03
-3.377322120972072383e+01,5.657784543500874896e+00,9.504514113412920295e+00,-2.756886361061374434e-03
-3.371074369097769363e+01,5.698891537288937492e+00,9.457228609390975649e+00,-3.540528161418749387e-04
-3.364826508375838898e+01,5.739996876750471877e+00,9.409776645828822339e+00,2.049742311186854293e-03
-3.358579277870490642e+01,5.781111793339672289e+00,9.362155584961360688e+00,4.454826466221259787e-03
-3.352333417557898798e+01,5.822247521138629089e+00,9.314362726116611313e+00,6.861524537030438270e-03
-3.346089669032598835e+01,5.863415294375659670e+00,9.266395303600654998e+00,9.270155256094786411e-03
-3.339848776212923553e+01,5.904626344894281509e+00,9.218250484490546626e+00,1.168102766841238802e-02
-3.333611486044398475e+01,5.945891899548401582e+00,9.169925366330131666e+00,1.405243973876505077e-02
-3.327378536210324711e+01,5.987222981779173558e+00,9.121416974662233557e+00,1.380747142300213851e-02
-3.321149857544985906e+01,6.028618406202086888e+00,9.072722258925022487e+00,9.320370500473313530e-03
-3.314924065736386893e+01,6.070057238447036596e+00,9.023838093140243544e+00,4.386026157918735714e-03
-3.308699633488306802e+01,6.111516490782354261e+00,8.974761272042927729e+00,-5.448053541947234495e-04
-3.302475032329038385e+01,6.152973206891112490e+00,8.925488507670076288e+00,-5.465407555016599771e-03
-3.296248737242519411e+01,6.194404476185992436e+00,8.876016426422733474e+00,-1.039066826294108778e-02
-3.290019224587890534e+01,6.235787347646650325e+00,8.826341565929382682e+00,-1.532058792601197379e-02
-3.283784974642194499e+01,6.277098812987675025e+00,8.776460371743059596e+00,-2.025509930735578529e-02
-3.277544474178411349e+01,6.318315790189070746e+00,8.726369193878985797e+00,-2.519403591840715939e-02
-3.271296219091269109e+01,6.359415107586628757e+00,8.676064283183251291e+00,-3.013710034853687297e-02
-3.265038717082807551e+01,6.400373488723666071e+00,8.625541787522339021e+00,-3.373616400612618194e-02
-3.258770901032150391e+01,6.441173859380207034e+00,8.574797743107801296e+00,-2.747559176081895357e-02
-3.252494713390964165e+01,6.481845357030429966e+00,8.523828070235049736e+00,-1.607538041703299170e-02
-3.246213639960839004e+01,6.522441374310965934e+00,8.472628585205780993e+00,-4.594039760192622675e-03
-3.239931171932183673e+01,6.563015809930134559e+00,8.421194984617542900e+00,6.897789147235792659e-03
-3.233650798139903770e+01,6.603622647741306473e+00,8.369522840152876952e+00,1.840124720073676653e-02
-3.227376019315163092e+01,6.644315872030484016e+00,8.317607593401861621e+00,2.991723476439382343e-02
